Cancer,Male,6180
Cancer,Female,2878
Divorce,Male,1598
Divorce,Female,2535
Poverty,Male,24779
Poverty,Female,7905
Paralysis,Male,5002
Paralysis,Female,2284
Love Affairs,Male,23700
Love Affairs,Female,21339
Unemployment,Male,23617
Unemployment,Female,3748
Dowry Dispute,Male,764
Dowry Dispute,Female,31206
Family Problems,Male,208771
Family Problems,Female,133181
Causes Not known,Male,160170
Causes Not known,Female,76899
Property Dispute,Male,14051
Property Dispute,Female,4601
Illness (Aids/STD),Male,5831
Illness (Aids/STD),Female,2892
Death of Dear Person,Male,5614
Death of Dear Person,Female,4707
Drug Abuse/Addiction,Male,28841
Drug Abuse/Addiction,Female,1205
Failure in Examination,Male,14951
Failure in Examination,Female,12054
Illegitimate Pregnancy,Male,103
Illegitimate Pregnancy,Female,2391
Insanity/Mental Illness,Male,60877
Insanity/Mental Illness,Female,33352
Other Prolonged Illness,Male,125493
Other Prolonged Illness,Female,69072
Fall in Social Reputation,Male,8767
Fall in Social Reputation,Female,4697
Suspected/Illicit Relation,Male,6818
Suspected/Illicit Relation,Female,8093
Professional/Career Problem,Male,10958
Professional/Career Problem,Female,1596
Other Causes (Please Specity),Male,144815
Other Causes (Please Specity),Female,71235
Physical Abuse (Rape/Incest Etc.),Male,1330
Physical Abuse (Rape/Incest Etc.),Female,2662
Ideological Causes/Hero Worshipping,Male,1342
Ideological Causes/Hero Worshipping,Female,776
Bankruptcy or Sudden change in Economic,Male,28878
Bankruptcy or Sudden change in Economic,Female,3877
Cancellation/Non-Settlement of Marriage,Male,5170
Cancellation/Non-Settlement of Marriage,Female,6126
Not having Children(Barrenness/Impotency,Male,2299
Not having Children(Barrenness/Impotency,Female,5523
Not having Children (Barrenness/Impotency,Male,222
Not having Children (Barrenness/Impotency,Female,544
Bankruptcy or Sudden change in Economic Status,Male,2297
Bankruptcy or Sudden change in Economic Status,Female,358
