A & N ISLANDS,Diploma,3
A & N ISLANDS,Graduate,14
A & N ISLANDS,Hr. Secondary/Intermediate/Pre-Universit,126
A & N ISLANDS,Matriculate/Secondary,404
A & N ISLANDS,Middle,672
A & N ISLANDS,No Education,121
A & N ISLANDS,Post Graduate and Above,3
A & N ISLANDS,Primary,280
ANDHRA PRADESH,Diploma,1265
ANDHRA PRADESH,Graduate,3047
ANDHRA PRADESH,Hr. Secondary/Intermediate/Pre-Universit,10799
ANDHRA PRADESH,Matriculate/Secondary,20602
ANDHRA PRADESH,Middle,34544
ANDHRA PRADESH,No Education,54938
ANDHRA PRADESH,Post Graduate and Above,696
ANDHRA PRADESH,Primary,36929
ARUNACHAL PRADESH,Diploma,2
ARUNACHAL PRADESH,Graduate,9
ARUNACHAL PRADESH,Hr. Secondary/Intermediate/Pre-Universit,61
ARUNACHAL PRADESH,Matriculate/Secondary,246
ARUNACHAL PRADESH,Middle,331
ARUNACHAL PRADESH,No Education,327
ARUNACHAL PRADESH,Post Graduate and Above,8
ARUNACHAL PRADESH,Primary,344
ASSAM,Diploma,260
ASSAM,Graduate,350
ASSAM,Hr. Secondary/Intermediate/Pre-Universit,2682
ASSAM,Matriculate/Secondary,6098
ASSAM,Middle,10932
ASSAM,No Education,6531
ASSAM,Post Graduate and Above,83
ASSAM,Primary,7533
BIHAR,Diploma,73
BIHAR,Graduate,250
BIHAR,Hr. Secondary/Intermediate/Pre-Universit,590
BIHAR,Matriculate/Secondary,1545
BIHAR,Middle,1788
BIHAR,No Education,3012
BIHAR,Post Graduate and Above,60
BIHAR,Primary,1927
CHANDIGARH,Diploma,3
CHANDIGARH,Graduate,103
CHANDIGARH,Hr. Secondary/Intermediate/Pre-Universit,130
CHANDIGARH,Matriculate/Secondary,405
CHANDIGARH,Middle,182
CHANDIGARH,No Education,103
CHANDIGARH,Post Graduate and Above,7
CHANDIGARH,Primary,101
CHHATTISGARH,Diploma,225
CHHATTISGARH,Graduate,547
CHHATTISGARH,Hr. Secondary/Intermediate/Pre-Universit,3512
CHHATTISGARH,Matriculate/Secondary,8737
CHHATTISGARH,Middle,15421
CHHATTISGARH,No Education,15612
CHHATTISGARH,Post Graduate and Above,128
CHHATTISGARH,Primary,16313
D & N HAVELI,Diploma,4
D & N HAVELI,Graduate,7
D & N HAVELI,Hr. Secondary/Intermediate/Pre-Universit,26
D & N HAVELI,Matriculate/Secondary,75
D & N HAVELI,Middle,91
D & N HAVELI,No Education,310
D & N HAVELI,Post Graduate and Above,0
D & N HAVELI,Primary,173
DAMAN & DIU,Diploma,7
DAMAN & DIU,Graduate,9
DAMAN & DIU,Hr. Secondary/Intermediate/Pre-Universit,13
DAMAN & DIU,Matriculate/Secondary,68
DAMAN & DIU,Middle,69
DAMAN & DIU,No Education,30
DAMAN & DIU,Post Graduate and Above,5
DAMAN & DIU,Primary,78
DELHI (UT),Diploma,164
DELHI (UT),Graduate,577
DELHI (UT),Hr. Secondary/Intermediate/Pre-Universit,2044
DELHI (UT),Matriculate/Secondary,4136
DELHI (UT),Middle,4084
DELHI (UT),No Education,2815
DELHI (UT),Post Graduate and Above,88
DELHI (UT),Primary,2949
GOA,Diploma,14
GOA,Graduate,84
GOA,Hr. Secondary/Intermediate/Pre-Universit,331
GOA,Matriculate/Secondary,758
GOA,Middle,979
GOA,No Education,651
GOA,Post Graduate and Above,38
GOA,Primary,620
GUJARAT,Diploma,264
GUJARAT,Graduate,965
GUJARAT,Hr. Secondary/Intermediate/Pre-Universit,3368
GUJARAT,Matriculate/Secondary,10204
GUJARAT,Middle,12236
GUJARAT,No Education,14504
GUJARAT,Post Graduate and Above,181
GUJARAT,Primary,24455
HARYANA,Diploma,686
HARYANA,Graduate,592
HARYANA,Hr. Secondary/Intermediate/Pre-Universit,2747
HARYANA,Matriculate/Secondary,7640
HARYANA,Middle,6021
HARYANA,No Education,6021
HARYANA,Post Graduate and Above,542
HARYANA,Primary,5188
HIMACHAL PRADESH,Diploma,76
HIMACHAL PRADESH,Graduate,176
HIMACHAL PRADESH,Hr. Secondary/Intermediate/Pre-Universit,656
HIMACHAL PRADESH,Matriculate/Secondary,1921
HIMACHAL PRADESH,Middle,1110
HIMACHAL PRADESH,No Education,553
HIMACHAL PRADESH,Post Graduate and Above,42
HIMACHAL PRADESH,Primary,785
JAMMU & KASHMIR,Diploma,42
JAMMU & KASHMIR,Graduate,71
JAMMU & KASHMIR,Hr. Secondary/Intermediate/Pre-Universit,215
JAMMU & KASHMIR,Matriculate/Secondary,712
JAMMU & KASHMIR,Middle,681
JAMMU & KASHMIR,No Education,718
JAMMU & KASHMIR,Post Graduate and Above,62
JAMMU & KASHMIR,Primary,467
JHARKHAND,Diploma,92
JHARKHAND,Graduate,491
JHARKHAND,Hr. Secondary/Intermediate/Pre-Universit,1127
JHARKHAND,Matriculate/Secondary,1755
JHARKHAND,Middle,1805
JHARKHAND,No Education,3018
JHARKHAND,Post Graduate and Above,121
JHARKHAND,Primary,1541
KARNATAKA,Diploma,1299
KARNATAKA,Graduate,3076
KARNATAKA,Hr. Secondary/Intermediate/Pre-Universit,10306
KARNATAKA,Matriculate/Secondary,22572
KARNATAKA,Middle,28726
KARNATAKA,No Education,42311
KARNATAKA,Post Graduate and Above,568
KARNATAKA,Primary,38107
KERALA,Diploma,952
KERALA,Graduate,2808
KERALA,Hr. Secondary/Intermediate/Pre-Universit,10611
KERALA,Matriculate/Secondary,29826
KERALA,Middle,33401
KERALA,No Education,5001
KERALA,Post Graduate and Above,551
KERALA,Primary,24786
LAKSHADWEEP,Diploma,0
LAKSHADWEEP,Graduate,1
LAKSHADWEEP,Hr. Secondary/Intermediate/Pre-Universit,0
LAKSHADWEEP,Matriculate/Secondary,5
LAKSHADWEEP,Middle,2
LAKSHADWEEP,No Education,0
LAKSHADWEEP,Post Graduate and Above,0
LAKSHADWEEP,Primary,2
MADHYA PRADESH,Diploma,767
MADHYA PRADESH,Graduate,1264
MADHYA PRADESH,Hr. Secondary/Intermediate/Pre-Universit,8601
MADHYA PRADESH,Matriculate/Secondary,14502
MADHYA PRADESH,Middle,19524
MADHYA PRADESH,No Education,23384
MADHYA PRADESH,Post Graduate and Above,635
MADHYA PRADESH,Primary,21630
MAHARASHTRA,Diploma,1377
MAHARASHTRA,Graduate,2146
MAHARASHTRA,Hr. Secondary/Intermediate/Pre-Universit,11715
MAHARASHTRA,Matriculate/Secondary,41304
MAHARASHTRA,Middle,47927
MAHARASHTRA,No Education,27088
MAHARASHTRA,Post Graduate and Above,358
MAHARASHTRA,Primary,48474
MANIPUR,Diploma,2
MANIPUR,Graduate,5
MANIPUR,Hr. Secondary/Intermediate/Pre-Universit,60
MANIPUR,Matriculate/Secondary,149
MANIPUR,Middle,129
MANIPUR,No Education,33
MANIPUR,Post Graduate and Above,0
MANIPUR,Primary,43
MEGHALAYA,Diploma,10
MEGHALAYA,Graduate,19
MEGHALAYA,Hr. Secondary/Intermediate/Pre-Universit,95
MEGHALAYA,Matriculate/Secondary,194
MEGHALAYA,Middle,293
MEGHALAYA,No Education,241
MEGHALAYA,Post Graduate and Above,4
MEGHALAYA,Primary,230
MIZORAM,Diploma,18
MIZORAM,Graduate,6
MIZORAM,Hr. Secondary/Intermediate/Pre-Universit,36
MIZORAM,Matriculate/Secondary,126
MIZORAM,Middle,357
MIZORAM,No Education,93
MIZORAM,Post Graduate and Above,0
MIZORAM,Primary,198
NAGALAND,Diploma,1
NAGALAND,Graduate,2
NAGALAND,Hr. Secondary/Intermediate/Pre-Universit,13
NAGALAND,Matriculate/Secondary,85
NAGALAND,Middle,123
NAGALAND,No Education,41
NAGALAND,Post Graduate and Above,1
NAGALAND,Primary,81
ODISHA,Diploma,428
ODISHA,Graduate,2442
ODISHA,Hr. Secondary/Intermediate/Pre-Universit,5298
ODISHA,Matriculate/Secondary,9910
ODISHA,Middle,11197
ODISHA,No Education,11877
ODISHA,Post Graduate and Above,260
ODISHA,Primary,12036
PUDUCHERRY,Diploma,80
PUDUCHERRY,Graduate,162
PUDUCHERRY,Hr. Secondary/Intermediate/Pre-Universit,523
PUDUCHERRY,Matriculate/Secondary,1931
PUDUCHERRY,Middle,2723
